raw,age
1.43,14.3
0.92,14.4
1.06,14.4
1.07,14.4
1.24,14.4
1.49,14.4
0.83,14.5
1.92,14.5
2.01,14.5
0.59,14.7
0.75,14.7
1.4,14.7
1.42,14.7
1.56,14.7
1.54,14.8
1.62,14.8
1.17,14.9
1.4,14.9
1.4,14.9
1.4,14.9
2.03,14.9
1.07,15
1.34,15.2
1.98,15.2
1.5,15.3
1.91,15.3
1.6,15.5
1.66,15.5
1.79,15.5
1.09,15.6
1.33,15.6
1.53,15.6
1.13,15.7
1.44,15.7
1.5,15.7
1.39,15.8
1.52,15.8
1.11,15.9
1.4,15.9
1.1,16
1.82,16
1.69,16.1
1.31,16.2
2.22,16.4
1.32,16.5
1.45,16.7
1.64,16.7
1.79,16.8
1.23,17
1.04,17.1
0.91,17.3
0.97,17.3
1.29,17.4
1.64,17.5
2.47,17.5
0.73,17.7
0.81,17.7
1.24,17.9
1.18,18
1.29,18
0.89,18.1
1.06,18.2
2.39,18.8
2.01,18.9
1.24,19.6
1.9,19.8
1.07,19.9
0.89,20
1.36,20.3
1.38,21.1
2.14,21.1
1.49,21.2
1.53,21.2
1.87,21.3
1.17,21.5
1.79,21.5
1.34,21.6
1.75,21.9
2.03,21.9
2.41,22
1.04,22.2
1.58,22.2
1.58,22.2
1.8,22.3
1.36,22.5
2.09,22.7
1.96,23.3
2.34,23.5
1.57,23.6
1.66,23.9
1.55,24
2.25,24
1.53,24.1
2.18,24.2
1.11,24.3
2.46,24.3
1.33,24.4
1.27,24.6
0.69,24.7
1.9,24.8
1.43,24.9
1.77,25
0.71,25.1
1.3,25.1
1.53,25.3
1.72,25.3
1.59,25.6
1.76,25.6
1.97,25.7
1.94,25.8
2.13,26
1.57,26.1
2.26,26.1
2.25,26.2
2.21,26.4
0.97,26.5
1.57,26.6
1.77,26.6
1.19,26.8
2.27,26.8
1.47,26.9
2.1,26.9
1.38,27
1.79,27
1.43,27.4
1.64,27.4
1.73,27.5
2.19,27.5
1.97,27.6
2,27.6
2.04,27.6
1.27,27.7
1.2,27.8
1.05,27.9
2.05,27.9
1.86,28
2.11,28
2.31,28.1
1.37,28.3
1.86,28.3
1,28.7
1.36,28.7
1.71,28.9
1.56,29
1.01,29.1
1.28,29.1
1.68,29.4
1.92,29.4
1.25,29.7
0.98,29.8
2.5,30
1.89,30.3
0.76,30.5
1.64,30.6
2.11,30.8
1.5,30.9
1.17,31
1.19,31
1.29,31.2
0.94,31.4
1.43,31.4
2.2,31.5
1.45,31.6
1.49,31.7
1.44,32.2
2,33.6
1.18,33.8
1.21,33.8
1.29,33.8
1.61,33.8
1.13,33.9
1.74,34.5
1.47,35
1.25,35.3
1.78,35.5
1.7,35.8
0.54,35.9
1.07,36
1.71,36.3
1.99,36.4
1.29,36.6
1.89,36.8
1.67,36.9
1.48,37.1
0.63,37.2
2.18,37.2
0.57,37.3
1.08,37.5
1.13,37.6
1.85,38.2
2.39,38.3
1.86,38.6
1.56,38.7
1.5,38.9
1.67,39
1.8,39.4
0.66,39.5
1.15,39.6
1.18,39.6
1.38,39.8
2.11,39.8
0.91,39.9
1.57,40
1.06,40.3
1.28,40.3
1.71,40.3
2.06,40.4
1.1,40.5
2.25,40.5
2,40.6
2.08,40.6
1.38,40.7
1.29,40.8
1.3,40.8
1.7,41
1.39,41.2
1.4,41.2
1.68,41.4
0.89,41.5
1.85,41.7
1.13,41.8
1.39,41.8
1.18,42
1.57,42.2
1.83,42.2
1.48,42.3
1.77,42.3
1.05,42.4
1.57,42.4
2.26,42.6
2.49,42.6
1.09,43.1
1.4,43.3
1.71,43.3
1.07,43.5
1.28,43.7
1.47,44.1
1.53,44.2
1.04,44.4
1.14,44.4
1.69,44.5
1.14,44.7
1.08,44.8
1.14,44.9
2.29,44.9
1.6,45
1.81,45
1.45,45.4
1.7,45.4
1.86,45.7
1.33,45.9
1.28,46
1.42,46.1
1.77,46.1
1.25,46.2
1.03,46.3
1.68,46.3
2.31,46.3
0.99,46.5
1.23,46.5
1.78,46.5
1.37,46.7
0.99,46.9
2.31,47
2.07,47.1
1.38,47.3
0.7,47.7
2.44,47.9
1.74,48.3
1.03,48.6
1.82,48.6
2.37,48.6
1.29,49.1
2.06,49.1
1.13,49.3
1.2,49.3
2.32,49.5
1.05,49.7
1.14,49.7
0.95,49.9
0.65,50.1
1.14,50.1
1.1,50.4
1.82,50.4
1.54,50.5
1.87,50.7
2.28,50.8
1.23,50.9
0.67,51
1.22,51
1.42,51
1.44,51.1
2.52,51.1
0.98,51.2
1.55,51.3
1.26,51.4
1.78,51.6
2.08,51.8
0.74,51.9
2.12,52.2
2.34,52.2
1.72,52.4
1.02,52.5
1.36,52.5
2.15,52.5
1.78,52.9
1.4,53.1
0.96,53.2
1,53.2
1.16,53.2
1.86,53.2
0.55,53.3
0.87,53.3
1.64,53.4
2.07,53.8
1.02,53.9
1.41,53.9
1.79,53.9
1.39,54.2
1.16,54.3
0.94,54.4
1.34,54.4
2.47,54.4
1.13,54.5
1.16,54.6
1.37,55
2.29,55
1.38,55.1
1.65,55.1
2.03,55.1
1.42,55.2
1.95,55.2
1.44,55.4
1.96,55.4
1.35,55.6
2.05,55.6
2.2,55.7
0.68,55.8
1.23,55.9
1.51,55.9
1.25,56
1.41,56
1.43,56
1.99,56
1.46,56.1
2.43,56.2
2.74,56.2
1.32,56.3
2.29,56.3
1.75,56.6
2.41,56.7
2.41,56.8
1.68,56.9
2.06,56.9
1.4,57.2
1.14,57.4
1.09,57.5
1.12,57.6
1.25,57.9
1.66,58
1.77,58
0.46,58.1
1.41,58.1
1.64,58.1
1.08,58.2
1.79,58.2
0.97,58.3
1.39,58.3
2.31,58.3
2.12,58.5
1.6,58.6
1.96,58.6
1,58.7
1.61,58.7
0.38,58.8
0.87,58.9
0.57,59
1.09,59
1.3,59.1
1.69,59.1
2.38,59.2
1,59.3
1.79,59.3
1.62,59.4
0.52,59.6
0.96,59.6
1.28,59.6
1.43,59.6
1.68,59.7
1.79,59.7
2.21,59.7
1.16,59.8
1.32,59.8
1.57,59.8
1.8,59.8
1.89,59.8
1.18,59.9
1.33,59.9
1.1,60
1.26,60
1.23,60.2
1.26,60.2
1.02,60.3
